;height;href;lat;long;name;norm_name;norm_reg;okato;oktmo;people;phone_code;post_index;square;timezone
1949;0;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%BE_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);54.305;15.09861111;Соболево;Соболево;Камчатский;30 213 000 001;30613401101;1669;741536;684200;0;UTC+12
500;0;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D0%BE%D0%BB%D1%8C%D1%81%D0%BA_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.76666667;22.5;Добровольск;Добровольск;Калининградская;27 218 804 001;27713000291;1693;;238743;0;UTC+2
499;35;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5;54.58527778;20.56972222;Нивенское;Нивенское;Калининградская;27 203 813 001;27703000376;1728;740156;238434;0;UTC+2
2019;470;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D1%91%D0%BC%D0%BE%D0%B2%D1%81%D0%BA_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F);54.35;93.43333333;Артёмовск;Артемовск;Красноярский;4 230 502;4630102001;1777;739136;662951;24;UTC+7
2018;54;https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D1%91%D1%81_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);57.45;41.5;Плёс;Плес;Ивановская;24 220 504;24620104001;1796;749339;155555;0;UTC+3
1948;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.04527778;15.13888889;Николаевка;Николаевка;Камчатский;30 207 000 010;30607413101;1819;;684032;0;UTC+12
784;0;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9;60.03333333;15.01222222;Стекольный;Стекольный;Магаданская;44 219 563;44719000065;1839;;686134;0;UTC+11
1897;0;https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%80%D0%B0%D0%BA%D0%B0%D0%BD;49.00083333;13.02861111;Биракан;Биракан;Еврейская;99 220 556;99620156051;1866;;679135;0;UTC+10
1947;0;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D1%80%D0%B5%D1%86%D0%BA;52.82388889;15.10444444;Усть-Большерецк;Усть-Большерецк;Камчатский;30 216 000 001;30616410101;1873;;684100;0;UTC+12
498;0;https://ru.wikipedia.org/wiki/%D0%92%D0%B7%D0%BC%D0%BE%D1%80%D1%8C%D0%B5_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.7;20.25;Взморье;Взморье;Калининградская;27 425 000 009;27725000116;1883;740152;238345;0;UTC+2
