norm_name;num;href;name;square;people;adm_center;num_reg;num_city;okato;num_mun_reg;num_mun_city;FederalDistrictName;FederalDistrictID
Томская;72;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Томская область;314391;1078891;Томск;16;6;69;16;4;Сибирский федеральный округ;7
Тульская;73;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Тульская область;25679;1499417;Тула;23;9;70;23;3;Центральный федеральный округ;1
Тюменская;74;https://ru.wikipedia.org/wiki/%D0%A2%D1%8E%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Тюменская область;1464173;3660030;Тюмень;38;26;71;21;5;Уральский федеральный округ;6
Ульяновская;75;https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Ульяновская область;37181;1252887;Ульяновск;21;6;73;21;3;Приволжский федеральный округ;5
Челябинская;76;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Челябинская область;88529;3502323;Челябинск;24;23;74;27;16;Уральский федеральный округ;6
Ярославская;77;https://ru.wikipedia.org/wiki/%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Ярославская область;36177;1270736;Ярославль;17;11;78;17;3;Центральный федеральный округ;1
Москва;78;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0;Москва;2561;12380664;Москва;12;0;45;146;0;Центральный федеральный округ;1
Санкт-Петербург;79;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3;Санкт-Петербург;1403;5281579;Санкт-Петербург;18;0;40;111;0;Северо-Западный федеральный округ;2
Севастополь;80;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C;Севастополь;864;428753;Севастополь;4;0;67;10;0;Крымский федеральный округ;9
Еврейская;81;https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Еврейская АО;36271;164217;Биробиджан;5;1;99;5;1;Дальневосточный федеральный округ;8
Ненецкий;82;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3;Ненецкий АО;176810;43937;Нарьян-Мар;1;1;11100;1;1;Северо-Западный федеральный округ;2
Югра;83;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BD%D1%82%D1%8B-%D0%9C%D0%B0%D0%BD%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3_%E2%80%94_%D0%AE%D0%B3%D1%80%D0%B0;Ханты-Мансийский АО — Югра;534801;1646078;Ханты-Мансийск;9;14;71100;9;13;Уральский федеральный округ;6
Чукотский;84;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%BA%D0%BE%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3;Чукотский АО;721481;49822;Анадырь;8;1;77;6;1;Дальневосточный федеральный округ;8
Ямало-Ненецкий;85;https://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%BB%D0%BE-%D0%9D%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3;Ямало-Ненецкий АО;769250;536049;Салехард;7;8;71140;7;6;Уральский федеральный округ;6
